Algorithm,Instance,MetricName,ExecutionId,MetricValue
nnUNet2D,P49T1,IoU,7,0.5070032573289902
nnUNet2D,P50T1,DSC,7,0.6869290531887646
nnUNet2D,P50T1,IoU,7,0.5231469440832249
nnUNet2D,P51T1,DSC,7,0.755380476556495
nnUNet2D,P51T1,IoU,7,0.6069167824610159
nnUNet2D,P52T1,DSC,7,0.8480417484757673
nnUNet2D,P52T1,IoU,7,0.7361740300515811
nnUNet2D,P53T1,DSC,7,0.6010405257393209
nnUNet2D,P53T1,IoU,7,0.4296339792522998
nnUNet2D,P53T2,DSC,7,0.6523489932885906
nnUNet2D,P53T2,IoU,7,0.4840637450199203
nnUNet2D,GlobalV,DSC,8,0.7471835615924711
nnUNet2D,GlobalV,IoU,8,0.6276016024688216
nnUNet2D,GlovalT,DSC,8,0.6989370842882184
nnUNet2D,GlovalT,IoU,8,0.5472914602453472
nnUNet2D,P47T1,DSC,8,0.7916531866709803
nnUNet2D,P47T1,IoU,8,0.6551539491298527
nnUNet2D,P47T2,DSC,8,0.4976133651551312
nnUNet2D,P47T2,IoU,8,0.3312152501985703
nnUNet2D,P48T1,DSC,8,0.7072341423379059
nnUNet2D,P48T1,IoU,8,0.5470705604933793
nnUNet2D,P49T1,DSC,8,0.6735104243835327
nnUNet2D,P49T1,IoU,8,0.5077389500558481
nnUNet2D,P50T1,DSC,8,0.7661221645893009
nnUNet2D,P50T1,IoU,8,0.6209060107918183
nnUNet2D,P51T1,DSC,8,0.7860752386299832
nnUNet2D,P51T1,IoU,8,0.6475485661424607
nnUNet2D,P52T1,DSC,8,0.8502675220273112
nnUNet2D,P52T1,IoU,8,0.7395350990924245
nnUNet2D,P53T1,DSC,8,0.5847953216374269
nnUNet2D,P53T1,IoU,8,0.4132231404958678
nnUNet2D,P53T2,DSC,8,0.6331623931623932
nnUNet2D,P53T2,IoU,8,0.4632316158079039
nnUNet2D,GlobalV,DSC,9,0.7415626583059651
nnUNet2D,GlobalV,IoU,9,0.6023100708469652
nnUNet2D,GlovalT,DSC,9,0.7074170258433008
nnUNet2D,GlovalT,IoU,9,0.555236005118095
nnUNet2D,P47T1,DSC,9,0.7818361303060217
nnUNet2D,P47T1,IoU,9,0.6418152350081038
nnUNet2D,P47T2,DSC,9,0.5273227310773646
nnUNet2D,P47T2,IoU,9,0.3580708022085092
nnUNet2D,P48T1,DSC,9,0.741556091676719
nnUNet2D,P48T1,IoU,9,0.5892643182362809
nnUNet2D,P49T1,DSC,9,0.6871075763917958
nnUNet2D,P49T1,IoU,9,0.5233540570699825
nnUNet2D,P50T1,DSC,9,0.7117124735729387
nnUNet2D,P50T1,IoU,9,0.552448470526454
nnUNet2D,P51T1,DSC,9,0.7821641579096847
nnUNet2D,P51T1,IoU,9,0.6422574626865671
nnUNet2D,P52T1,DSC,9,0.8572346922376386
nnUNet2D,P52T1,IoU,9,0.7501406337896118
nnUNet2D,P53T1,DSC,9,0.6144080307056392
nnUNet2D,P53T1,IoU,9,0.4434263797144683
nnUNet2D,P53T2,DSC,9,0.6634113487119043
nnUNet2D,P53T2,IoU,9,0.4963466868228773
nnUNet2D,GlobalV,DSC,10,0.7491079069476259
nnUNet2D,GlobalV,IoU,10,0.6159519773657104
nnUNet2D,GlovalT,DSC,10,0.6765442647750857
nnUNet2D,GlovalT,IoU,10,0.519743106311745
nnUNet2D,P47T1,DSC,10,0.7845637583892617
nnUNet2D,P47T1,IoU,10,0.6454997239094423
nnUNet2D,P47T2,DSC,10,0.5622207176709546
nnUNet2D,P47T2,IoU,10,0.3910340930495385
nnUNet2D,P48T1,DSC,10,0.6101638248077565
nnUNet2D,P48T1,IoU,10,0.4390185229732981
nnUNet2D,P49T1,DSC,10,0.6679582391561727
nnUNet2D,P49T1,IoU,10,0.5014544279250162
nnUNet2D,P50T1,DSC,10,0.6205583756345178
nnUNet2D,P50T1,IoU,10,0.4498620055197792
nnUNet2D,P51T1,DSC,10,0.7753210389108816
nnUNet2D,P51T1,IoU,10,0.6330810469883318
nnUNet2D,P52T1,DSC,10,0.8466112990874602
nnUNet2D,P52T1,IoU,10,0.7340208018490533
nnUNet2D,P53T1,DSC,10,0.5560863119749629
nnUNet2D,P53T1,IoU,10,0.3851243440565822
nnUNet2D,P53T2,DSC,10,0.6654148173438034
nnUNet2D,P53T2,IoU,10,0.4985929905346636
nnUNet3D,GlobalV,DSC,6,0.7690869203557893
nnUNet3D,GlobalV,IoU,6,0.6324152357822721
nnUNet3D,GlovalT,DSC,6,0.7669096396040422
nnUNet3D,GlovalT,IoU,6,0.627567668250887
nnUNet3D,P47T1,DSC,6,0.7977425259304454
nnUNet3D,P47T1,IoU,6,0.6635371733062675
nnUNet3D,P47T2,DSC,6,0.709343679275784
nnUNet3D,P47T2,IoU,6,0.5495991983967936
nnUNet3D,P48T1,DSC,6,0.827031568839275
nnUNet3D,P48T1,IoU,6,0.705075726565698
nnUNet3D,P49T1,DSC,6,0.7386968728821764
nnUNet3D,P49T1,IoU,6,0.5856616518268345
nnUNet3D,P50T1,DSC,6,0.7919753949391863
nnUNet3D,P50T1,IoU,6,0.6555954171970837
nnUNet3D,P51T1,DSC,6,0.8632590650939275
nnUNet3D,P51T1,IoU,6,0.7594158339738662
nnUNet3D,P52T1,DSC,6,0.8397585230830891
nnUNet3D,P52T1,IoU,6,0.723779092361501
nnUNet3D,P53T1,DSC,6,0.6169641815424105
nnUNet3D,P53T1,IoU,6,0.4460941454361397
nnUNet3D,P53T2,DSC,6,0.7174149448500854
nnUNet3D,P53T2,IoU,6,0.5593507751937985
nnUNet3D,GlobalV,DSC,7,0.6377095373896656
nnUNet3D,GlobalV,IoU,7,0.4783075746385036
nnUNet3D,GlovalT,DSC,7,0.7580421838588681
nnUNet3D,GlovalT,IoU,7,0.6160353206231132
nnUNet3D,P47T1,DSC,7,0.8075949367088607
nnUNet3D,P47T1,IoU,7,0.6772823779193206
nnUNet3D,P47T2,DSC,7,0.6920180722891566
nnUNet3D,P47T2,IoU,7,0.5290731145653426
nnUNet3D,P48T1,DSC,7,0.7875406787540679
nnUNet3D,P48T1,IoU,7,0.6495398773006135
nnUNet3D,P49T1,DSC,7,0.7252547674301282
nnUNet3D,P49T1,IoU,7,0.5689409529840114
